JENIS FASYANKES,NAMA,LONGITUDE,LATITUDE,PROVINSI,KABUPATEN,STATUS OPERASIONAL,KECAMATAN,DESA,GEOCODE_STATUS
Rumah Sakit,RS Umum Telaga Bunda,96.6945,5.20152,Aceh,Bireuen,Beroperasi,,Bireuenmeunasahblang,ok
Rumah Sakit,RS Umum Daerah Dr. Fauziah Bireun,96.69878,5.20411,Aceh,Bireuen,Beroperasi,,,no_data
Rumah Sakit,RS Umum Avicenna,96.70085,5.24276,Aceh,Bireuen,Beroperasi,,Kruengjuli Timu,ok
Rumah Sakit,RS Umum Bireuen Medical Center,96.6712,5.20599,Aceh,Bireuen,Beroperasi,,Geulumpangpayong,ok
Rumah Sakit,RS Umum Jeumpa Hospital,96.7200425,5.2041026,Aceh,Bireuen,Beroperasi,,,no_data
Rumah Sakit,RS Umum Muhammad Ali Kasim,97.36998,4.00606,Aceh,Gayo Lues,Beroperasi,,Pangur,ok
Rumah Sakit,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,96.4892,4.13144,Aceh,Nagan Raya,Beroperasi,,,no_data
Rumah Sakit,RS Umum Pertamina Rantau,98.1061,4.34552,Aceh,Aceh Tamiang,Beroperasi,,Alurmanis,ok
Rumah Sakit,RS Umum Daerah Muda Sedia Kabupaten Aceh Tamiang,98.0035,4.20804,Aceh,Aceh Tamiang,Beroperasi,,Sukamakmur,ok
Rumah Sakit,RS Ibu dan Anak Azalia,96.85943,4.7169,Aceh,Bener Meriah,Beroperasi,,Tingkembenyer,ok
Rumah Sakit,RS Umum Daerah Muyang Kute Redelong Bener Meriah,96.7494,4.69514,Aceh,Bener Meriah,Beroperasi,,Balik,ok
Rumah Sakit,RS Umum Daerah Pidie Jaya,96.2801,4.98824,Aceh,Pidie Jaya,Beroperasi,,,no_data
Rumah Sakit,RS Umum Az-Zuhra,97.1405218,5.1828949,Aceh,Kota Lhokseumawe,Beroperasi,Banda Sakti,,ok
Rumah Sakit,RS Ibu dan Anak ABBY,97.14737,5.18279,Aceh,Kota Lhokseumawe,Beroperasi,Banda Sakti,,ok
Rumah Sakit,RS Umum Bunda,97.14588,5.18345,Aceh,Kota Lhokseumawe,Beroperasi,Banda Sakti,,ok
